,Address,Bathrooms,Bedrooms,Designation,Price
175,"avenue de gaule, Bonapriso, Douala, Littoral",3 Salles de bain,2 Chambres,"

                        Appartement  à Louer à Bonapriso                    
","CFA  850,000"
176,"CAMP SIC, Mendong, Yaoundé, Centre",1 Salles de bain,1 Chambres,"

                        Studio Moderne à Mendong                    
","CFA  60,000"
177,"Bali à la rue de la pharmacie la côte, Bali, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        3 Appartements de 2 chambres nouvellement construit à Bali                    
","CFA  400,000"
178,"Bastos, Yaoundé, Centre",3 Salles de bain,2 Chambres,"

                        Appartement d'exception au Golf                    
","CFA  800,000"
179,"Mendong, Yaoundé, Centre",1 Salles de bain,2 Chambres,"

                        Appartement à Mendong Simbock                    
","CFA  100,000"
180,"Bonapriso, Douala, Littoral",3 Salles de bain,3 Chambres,"

                        Appartement 0 3 Chambres à Bonanjo                    
","CFA  800,000"
181,"Bastos, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        Appartement 2 chambres à Bastos                    
","CFA  400,000"
182,"NOUVELLE ROUTE DU GENIE MILITAIRE/AXE-LOURD BONATEKI, Bepanda, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement Moderne à Louer à Bonewonda                    
","CFA  165,000"
183,"CHOCOCHO, Bonapriso, Douala, Littoral",4 Salles de bain,3 Chambres,"

                        Appartement meublé à louer à BONAPRISO                    
","CFA  1,500,000"
184,"TITI GARAGE, Omnisports, Yaoundé, Centre",3 Salles de bain,2 Chambres,"

                        Appartement 02 Pièces à Omnisports                    
","CFA  175,000"
185,"Bastos, Yaoundé, Centre",2 Salles de bain,3 Chambres,"

                        Appartement 03 Chambres à Bastos                    
","CFA  350,000"
186,"DENVER, Bonamoussadi, Douala, Littoral",3 Salles de bain,2 Chambres,"

                        Appartement à louer à BONAMOUSSADI                    
","CFA  500,000"
187,"FANDENA, Omnisports, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        Appartement à Omnisports                    
","CFA  200,000"
188,"omnisports, Omnisports, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        Appartement à louer omnisports haut standing                    
","CFA  250,000"
189,"Mendong, Mendong, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        Bel appartement à Jouvence                    
","CFA  125,000"
190,"Monté Jouvence, Yaoundé, Centre",3 Salles de bain,2 Chambres,"

                        APPARTEMENT A LOUER A MONTEE JOUVENCE                    
","CFA  110,000"
191,"Bali à la rue de la pharmacie la côte, Bali, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        3 Appartements de 2 chambres nouvellement construit à Bali                    
","CFA  400,000"
